freq,unit,airpol,src_crf,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_T,GHG,CRF1A1,CH	3.84986 	3.60391 	3.64851 	3.75163 	3.63241 	3.33182 	3.42976 	3.35961 	3.4365 	3.45871 	3.42553 	3.38769 	3.33767 	3.22744 	3.22925 
A,MIO_T,GHG,CRF1A1,CY	3.88013 	3.72172 	3.55718 	2.83873 	2.94954 	3.03262 	3.31058 	3.29848 	3.35305 	3.29252 	3.03283 	3.08756 	3.11489 	3.05974 	3.22575 
A,MIO_T,GHG,CRF1A1,CZ	62.17533 	61.89303 	59.02304 	55.20127 	53.76773 	53.665 	54.42885 	53.64744 	52.9335 	49.17555 	41.59547 	41.00587 	42.77894 	35.67365 	31.88801 
A,MIO_T,GHG,CRF1A1,DE	359.47744 	355.22484 	366.47716 	371.69209 	351.98573 	340.78685 	336.70114 	317.36105 	303.7041 	253.2589 	215.22406 	242.92983 	252.95325 	200.28859 	185.37374 
A,MIO_T,GHG,CRF1A1,DK	24.1032 	20.11513 	16.92903 	19.12832 	15.61251 	12.90585 	14.09472 	11.62385 	11.5231 	8.72988 	7.37248 	8.36569 	8.30391 	6.64979 	6.11599 
A,MIO_T,GHG,CRF1A1,EE	15.01239 	14.67893 	13.21284 	15.03823 	14.48952 	11.84129 	13.44204 	14.45959 	13.59089 	8.14534 	5.75337 	6.99767 	8.63549 	5.47189 	4.74125 
A,MIO_T,GHG,CRF1A1,EL	52.19583 	54.00014 	54.67188 	49.35342 	45.9241 	40.89989 	37.01184 	39.93027 	38.25669 	31.97067 	24.48218 	25.47302 	24.73534 	20.94939 	21.20321 
A,MIO_T,GHG,CRF1A1,ES	74.18278 	86.65718 	91.6822 	71.63162 	74.7835 	84.63583 	69.63723 	79.8883 	70.5039 	55.08698 	40.64001 	41.08633 	53.02373 	41.45642 	36.88418 
A,MIO_T,GHG,CRF1A1,EU27_2020	1255.37034 	1242.26611 	1227.44863 	1165.24454 	1103.92821 	1112.2478 	1087.94731 	1084.8619 	1023.16247 	903.57236 	776.54784 	839.44544 	858.90707 	698.41559 	642.41481 
A,MIO_T,GHG,CRF1A1,FI	30.8236 	24.78032 	20.71094 	22.04006 	20.847 	17.66282 	19.02022 	17.39809 	18.55193 	16.1061 	12.9667 	13.31955 	12.81314 	9.98556 	8.36562 
A,MIO_T,GHG,CRF1A1,FR	60.06725 	54.72662 	56.9847 	55.34601 	42.06895 	44.97292 	48.52956 	52.46451 	43.00318 	41.64118 	37.19662 	39.8021 	41.48907 	33.72931 	28.53811 
A,MIO_T,GHG,CRF1A1,HR	5.90152 	6.27394 	5.87404 	5.26134 	4.76349 	4.74089 	4.87338 	4.49167 	3.93635 	3.91223 	3.69605 	3.76936 	4.10624 	4.09738 	3.18049 
A,MIO_T,GHG,CRF1A1,HU	18.00466 	17.28469 	16.7557 	14.07408 	13.41633 	13.77746 	13.53277 	13.84623 	13.09312 	12.58133 	12.33522 	11.49736 	10.73678 	9.24349 	8.72238 
A,MIO_T,GHG,CRF1A1,IE	13.36379 	11.96776 	12.81001 	11.4492 	11.24435 	11.85355 	12.57506 	11.76271 	10.44201 	9.1977 	8.55178 	10.08564 	9.90288 	7.7601 	7.06148 
A,MIO_T,GHG,CRF1A1,IS	0.00855 	0.00657 	0.00785 	0.00441 	0.00512 	0.00419 	0.00237 	0.00232 	0.00236 	0.00497 	0.00262 	0.00321 	0.01049 	0.01096 	0.01545 
A,MIO_T,GHG,CRF1A1,IT	137.47823 	133.37266 	128.31861 	109.14251 	100.50403 	106.06399 	104.69095 	104.81987 	95.83874 	91.70452 	81.64599 	85.86984 	94.5268 	75.20604 	63.85685 
A,MIO_T,GHG,CRF1A1,LT	5.32902 	4.46129 	4.4106 	3.84693 	3.16998 	3.14696 	2.94304 	2.57341 	2.42008 	2.24849 	2.55383 	2.69252 	2.47119 	2.40722 	2.25921 
A,MIO_T,GHG,CRF1A1,LU	1.20002 	1.00342 	1.04607 	0.69695 	0.67006 	0.46261 	0.25598 	0.24718 	0.22489 	0.2103 	0.2156 	0.26572 	0.22317 	0.18428 	0.15849 
A,MIO_T,GHG,CRF1A1,LV	2.27366 	2.09361 	1.87805 	1.94947 	1.69399 	1.77242 	1.85438 	1.54769 	1.93187 	1.8237 	1.36817 	1.43749 	1.00105 	1.00891 	1.09462 
A,MIO_T,GHG,CRF1A1,MT	1.88424 	1.93767 	2.05714 	1.69509 	1.65673 	0.88654 	0.57835 	0.7245 	0.69858 	0.73988 	0.81082 	0.77247 	0.79733 	0.79953 	0.73735 
A,MIO_T,GHG,CRF1A1,NL	67.5367 	63.38376 	60.01139 	60.38273 	64.49487 	69.63294 	67.71971 	63.32264 	59.62062 	57.10822 	47.29894 	47.31648 	45.31421 	37.39119 	36.30597 
A,MIO_T,GHG,CRF1A1,NO	14.79005 	14.37313 	14.04982 	14.11201 	14.80434 	15.29745 	14.84672 	15.19016 	15.08106 	14.9245 	14.20957 	13.22492 	12.66731 	12.30826 	11.79669 
A,MIO_T,GHG,CRF1A1,PL	173.5294 	174.85011 	169.7489 	170.33976 	160.94446 	163.70052 	163.55406 	165.26434 	163.31032 	150.56746 	139.61404 	160.24164 	153.00914 	127.59607 	123.96563 
A,MIO_T,GHG,CRF1A1,PT	14.52059 	16.50229 	17.45737 	15.22515 	14.54173 	18.37275 	17.42701 	21.30372 	17.87047 	13.05239 	10.39119 	8.32006 	8.37343 	5.86558 	4.31739 
A,MIO_T,GHG,CRF1A1,RO	31.62204 	33.77951 	31.68061 	24.93814 	24.57859 	24.33795 	22.72345 	23.97102 	22.3111 	18.91892 	15.05108 	15.60295 	14.52905 	12.78274 	12.36822 
A,MIO_T,GHG,CRF1A1,SE	13.79783 	11.44463 	11.0483 	10.46387 	9.63207 	9.44379 	10.0011 	9.86796 	10.35278 	8.65521 	7.96481 	9.04644 	2.5839 	8.42297 	8.21628 
A,MIO_T,GHG,CRF1A1,SI	6.34674 	6.36606 	6.05883 	5.77951 	4.45263 	4.56688 	4.93546 	4.92335 	4.80795 	4.58121 	4.51722 	4.20072 	3.41951 	3.30996 	3.63586 
A,MIO_T,GHG,CRF1A1,SK	9.49157 	9.63533 	9.23891 	8.71849 	7.55872 	8.07634 	8.02178 	7.99243 	7.7615 	7.37825 	6.75218 	7.30861 	6.40746 	6.39426 	5.32971 
A,MIO_T,GHG,CRF1A1,TR	115.23089 	126.73961 	128.00279 	123.00804 	133.37701 	136.12983 	144.82953 	155.75267 	158.48238 	149.55981 	141.93402 	159.38587 	155.97349 	154.26313 	161.35529 
A,MIO_T,GHG,CRF1A1A,AT	10.77783 	10.36809 	8.92532 	7.92168 	6.41859 	7.41504 	7.22147 	7.89779 	6.98244 	7.05368 	5.76778 	5.75059 	5.7033 	4.55595 	4.45403 
A,MIO_T,GHG,CRF1A1A,BE	21.06655 	18.08542 	17.61954 	16.31276 	15.0501 	15.89112 	14.63661 	14.71594 	14.85708 	15.06123 	13.913 	12.86464 	13.53699 	10.91565 	9.82567 
A,MIO_T,GHG,CRF1A1A,BG	30.59787 	35.40337 	30.59969 	26.32747 	28.102 	28.94707 	25.52389 	26.7831 	22.70951 	21.55345 	17.11095 	21.38199 	25.98559 	14.80721 	11.81259 
A,MIO_T,GHG,CRF1A1A,CH	2.94133 	2.75964 	2.89701 	2.86268 	2.71406 	2.89494 	3.06897 	3.00918 	3.07105 	3.13186 	3.10116 	3.10555 	2.97878 	2.8817 	2.92654 
A,MIO_T,GHG,CRF1A1A,CY	3.88004 	3.72163 	3.55702 	2.83859 	2.94943 	3.03244 	3.31027 	3.29816 	3.35284 	3.29234 	3.01323 	3.08739 	3.10883 	3.0596 	3.22563 
A,MIO_T,GHG,CRF1A1A,CZ	54.62425 	54.23432 	51.7826 	48.55449 	46.87743 	46.91867 	47.63932 	47.14955 	46.58287 	43.18011 	36.93926 	39.2635 	40.66669 	33.72512 	30.70169 
A,MIO_T,GHG,CRF1A1A,DE	318.84076 	316.44141 	332.19576 	335.8036 	317.95797 	306.24193 	302.15042 	282.70513 	269.7686 	219.95314 	184.87974 	212.47358 	221.14052 	170.75641 	155.25507 
A,MIO_T,GHG,CRF1A1A,DK	21.66594 	17.74893 	14.47862 	16.73967 	13.27168 	10.45409 	11.84775 	9.27918 	9.30491 	6.47777 	5.49793 	6.44139 	6.41684 	4.81228 	4.14152 
A,MIO_T,GHG,CRF1A1A,EE	14.51044 	14.14763 	12.69192 	14.40925 	13.60584 	10.66267 	12.17341 	12.98967 	12.02401 	6.53278 	4.19042 	5.44905 	7.07152 	3.70852 	3.10998 
A,MIO_T,GHG,CRF1A1A,EL	48.47164 	50.61565 	51.06046 	44.2403 	40.57776 	35.60905 	31.4058 	34.98175 	33.27483 	27.32164 	19.99392 	20.16337 	18.88141 	15.37101 	15.85258 
A,MIO_T,GHG,CRF1A1A,ES	60.19786 	73.97044 	78.68251 	58.85637 	62.8952 	73.54955 	58.54732 	68.83747 	59.42536 	43.96851 	30.71718 	31.22021 	42.65246 	30.79161 	26.30448 
A,MIO_T,GHG,CRF1A1A,EU27_2020	1081.31766 	1073.5919 	1069.20911 	1013.12808 	955.35762 	964.05192 	940.61284 	940.59401 	882.26581 	763.42847 	650.21738 	715.4201 	733.85255 	573.81825 	520.31247 
A,MIO_T,GHG,CRF1A1A,FI	27.99563 	21.85222 	18.01989 	19.35765 	18.05374 	15.17149 	17.11375 	15.50062 	16.69303 	14.21805 	11.21103 	11.89456 	11.15841 	8.25816 	6.81427 
A,MIO_T,GHG,CRF1A1A,FR	46.15898 	41.17679 	45.64105 	44.47219 	31.17609 	34.41559 	38.3086 	42.65583 	33.85025 	32.56466 	29.99569 	32.74881 	34.09623 	26.05971 	21.32117 
A,MIO_T,GHG,CRF1A1A,HR	3.98758 	4.1664 	3.80305 	3.63464 	3.06671 	3.11527 	3.37121 	2.91995 	2.41146 	2.67501 	2.65708 	2.78567 	3.10288 	3.0644 	2.17734 
A,MIO_T,GHG,CRF1A1A,HU	16.22383 	15.40223 	14.9572 	12.38399 	11.59091 	11.98011 	11.74072 	11.99011 	11.06768 	10.61912 	10.42794 	9.71424 	9.038 	7.46936 	7.11173 
A,MIO_T,GHG,CRF1A1A,IE	12.88006 	11.54653 	12.35102 	10.99351 	10.83126 	11.38033 	12.13612 	11.32237 	10.00134 	8.81594 	8.15892 	9.71049 	9.52767 	7.43931 	6.84706 
A,MIO_T,GHG,CRF1A1A,IS	0.00855 	0.00657 	0.00785 	0.00441 	0.00512 	0.00419 	0.00237 	0.00232 	0.00236 	0.00497 	0.00262 	0.00321 	0.01049 	0.01096 	0.01545 
