freq,wst_oper,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DSP_I_RCV_E,THS_T,MT	0 	3 	1 	1 	1 	1 	1 	0 	0 	0 	0 	13 	4 	9 	8 
A,DSP_I_RCV_E,THS_T,NL	4674 	4678 	4515 	4304 	4238 	4151 	3995 	3868 	3759 	3672 	3876 	3680 p	3432 p	3380 	3450 
A,DSP_I_RCV_E,THS_T,NO	1154 	1341 	1346 	1446 	1148 b	1145 	2113 b	2088 	2006 	2053 	1814 b	2160 	2146 	1873 	1883 
A,DSP_I_RCV_E,THS_T,PL	39 	45 	51 	766 be	1560 be	1439 e	2266 e	2922 e	3013 e	2920 e	2823 	2873 	2827 	2778 	3104 
A,DSP_I_RCV_E,THS_T,PT	1058 	1088 	930 	1091 	974 	941 	950 	989 	946 	996 	1129 	1248 	1078 	976 	1241 
A,DSP_I_RCV_E,THS_T,RO	21 b	47 	89 	97 	133 	116 	220 	227 	241 	251 	298 	351 	429 	352 	: 
A,DSP_I_RCV_E,THS_T,RS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	13 	11 	11 	: 
A,DSP_I_RCV_E,THS_T,SE	2124 	2236 	2271 	2236 	2149 	2284 	2263 	2400 	2362 	2427 	2680 be	2599 e	2439 e	2423 e	2378 e
A,DSP_I_RCV_E,THS_T,SI	9 	11 	10 	4 	2 	158 be	188 e	111 e	105 e	137 e	134 e	118 	131 	147 	175 
A,DSP_I_RCV_E,THS_T,SK	183 	186 	168 	174 	190 	191 	197 	197 	187 	211 	193 	220 	204 	198 	191 
A,DSP_I_RCV_E,THS_T,TR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,DSP_I_RCV_E,THS_T,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,DSP_L_OTH,KG_HAB,AL	: 	: 	: 	164 	270 	337 	353 	346 	355 	305 	298 	247 	226 	234 	: 
A,DSP_L_OTH,KG_HAB,AT	18 	27 	25 	23 	23 	17 	15 	12 	13 	12 i	15 b	17 	17 	14 	: 
A,DSP_L_OTH,KG_HAB,BA	271 	269 	227 	233 	234 	257 	270 	270 	271 	311 i	313 i	: 	267 	264 	269 
A,DSP_L_OTH,KG_HAB,BE	7 	4 	3 	4 	4 	4 	3 	4 	4 	4 	2 	3 	1 	1 	1 p
A,DSP_L_OTH,KG_HAB,BG	411 	349 	318 	303 	313 	286 	268 	280 	261 	288 i	291 i	137 	262 	217 	: 
A,DSP_L_OTH,KG_HAB,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DSP_L_OTH,KG_HAB,CY	600 	559 	541 	503 	463 	475 	490 	484 	444 	423 	401 	384 	387 	406 	457 
A,DSP_L_OTH,KG_HAB,CZ	206 e	206 e	174 e	173 e	174 e	166 e	169 e	222 b	229 	231 	259 	263 	249 	228 	: 
A,DSP_L_OTH,KG_HAB,DE	3 	3 	1 	8 i	8 i	8 i	6 i	5 i	5 i	5 i	5 i	2 i	5 i	6 i	10 i
A,DSP_L_OTH,KG_HAB,DK	: 	22 b	18 	14 	12 	11 	10 	8 	9 	8 	7 	13 	12 	14 	15 p
A,DSP_L_OTH,KG_HAB,EE	201 	180 	98 	40 	23 	26 	39 	75 	87 	64 	56 	78 	49 	2 	48 
A,DSP_L_OTH,KG_HAB,EL	441 	412 	408 	403 	410 	409 	410 i	403 i	403 i	407 	400 	411 	420 	422 	: 
A,DSP_L_OTH,KG_HAB,ES	318 	305 	284 	253 	259 	261 	251 	242 	255 	241 	229 	220 	226 	217 p	216 e
A,DSP_L_OTH,KG_HAB,EU27_2020	178 	167 	153 	142 i	134 i	127 i	128 i	127 i	125 i	124 i	120 i	117 i	116 i	: 	110 i
A,DSP_L_OTH,KG_HAB,FI	212 	203 	166 	124 	84 	57 	16 	5 	4 	5 	3 	3 	2 	2 	2 
A,DSP_L_OTH,KG_HAB,FR	155 e	149 	142 e	134 	128 e	122 	158 e	160 e	145 e	144 e	129 e	133 e	116 e	112 e	110 ep
A,DSP_L_OTH,KG_HAB,HR	358 	349 	323 	334 	312 	317 	314 	307 	293 	272 	261 	266 	266 	246 	247 
A,DSP_L_OTH,KG_HAB,HU	284 	257 	263 	245 	222 	203 	193 	188 	191 	198 	220 	214 	225 	233 	220 
A,DSP_L_OTH,KG_HAB,IE	328 	293 	223 	: 	115 	: 	149 	129 	85 	95 	103 b	99 	88 	85 	: 
A,DSP_L_OTH,KG_HAB,IS	346 	339 	343 	340 	354 	342 	375 	416 	418 	: 	293 	263 	196 	162 	: 
A,DSP_L_OTH,KG_HAB,IT	251 	220 	195 	181 	155 	130 	124 	115 	108 	105 	98 	95 	88 	78 	: 
A,DSP_L_OTH,KG_HAB,LT	348 	341 	325 	270 	254 	241 	132 	148 	114 	101 	78 	74 	63 	35 	26 
A,DSP_L_OTH,KG_HAB,LU	108 	97 	93 	88 	89 	45 	35 b	36 	35 	35 e	31 i	32 	20 	21 	18 e
A,DSP_L_OTH,KG_HAB,LV	294 	258 	254 	259 	258 	250 	263 	267 	240 	252 i	253 	242 	202 	: 	142 
A,DSP_L_OTH,KG_HAB,ME	: 	438 e	435 e	462 e	456 e	472 e	466 e	: 	450 e	483 e	431 e	479 e	506 e	536 e	556 e
A,DSP_L_OTH,KG_HAB,MK	351 	357 	381 	384 	370 	380 	385 	344 	301 	305 i	304 i	324 	330 	340 	: 
A,DSP_L_OTH,KG_HAB,MT	545 	512 	503 	495 	506 	676 	488 	531 	562 	636 	531 	519 	515 	444 	448 
A,DSP_L_OTH,KG_HAB,NL	9 	9 	8 	8 	8 	7 	7 	7 	7 	7 	7 	7 p	7 p	7 	7 
A,DSP_L_OTH,KG_HAB,NO	28 	11 	9 	10 	12 b	14 	32 b	26 	23 	29 	17 b	25 	24 	39 	20 
A,DSP_L_OTH,KG_HAB,PL	211 	221 	212 	184 e	159 be	155 e	140 e	132 e	137 e	145 e	139 	143 	139 	111 b	116 
A,DSP_L_OTH,KG_HAB,PT	320 	288 	246 	222 	221 	214 	207 	226 	244 	242 	290 	270 	280 	285 	270 
A,DSP_L_OTH,KG_HAB,RO	238 b	201 	171 	175 	179 	178 	190 	207 	210 	213 	214 	223 	223 	231 	: 
A,DSP_L_OTH,KG_HAB,RS	259 	289 	254 	268 	234 	192 	211 	256 	279 	291 	: 	345 	366 	372 	: 
A,DSP_L_OTH,KG_HAB,SE	4 	3 	3 	3 	3 	4 	3 	2 	3 	3 	2 be	2 e	2 e	4 e	3 be
A,DSP_L_OTH,KG_HAB,SI	279 	234 	154 	109 	101 	102 	38 	48 	47 	52 	33 	31 	39 	49 	54 
A,DSP_L_OTH,KG_HAB,SK	246 	230 	224 	213 	214 	226 	228 	229 	229 	219 	218 	202 	188 	183 	186 
A,DSP_L_OTH,KG_HAB,TR	340 	355 e	340 	332 e	361 	350 e	359 	359 e	347 	347 e	337 	338 e	: 	: 	: 
A,DSP_L_OTH,KG_HAB,XK	: 	: 	: 	: 	: 	177 	222 	228 	226 	252 i	255 	264 	275 	268 i	267 i
